id,lecture,5#,10#,30#,60#,300#,600#,long#
0,402,5,2,1,0,0,0,0
0,403,2,0,0,0,0,0,0
0,404,4,1,0,0,0,0,0
0,405,8,1,0,0,0,0,0
0,406,2,0,0,0,0,0,0
0,407,3,0,0,0,0,0,0
0,408,3,0,0,0,0,0,0
0,409,5,0,0,0,0,0,0
1,402,12,2,2,0,0,0,0
1,403,6,3,0,0,0,0,0
1,404,4,1,0,0,0,0,0
1,405,6,0,0,0,0,0,0
1,406,0,0,0,0,0,0,0
1,407,3,0,0,0,0,0,0
1,408,5,0,0,0,0,0,0
1,409,4,1,1,0,0,0,0
2,402,9,2,0,0,0,0,0
2,403,6,0,0,0,0,0,0
2,404,1,0,0,0,0,0,0
2,405,5,0,0,0,0,0,0
2,406,0,0,0,0,0,0,0
2,407,4,0,0,0,0,0,0
2,408,3,0,0,0,0,0,0
2,409,5,0,0,0,0,0,0
3,402,7,0,0,0,0,0,0
3,403,2,0,0,0,0,0,0
3,404,1,0,0,0,0,0,0
3,405,5,0,0,0,0,0,0
3,406,0,0,0,0,0,0,0
3,407,6,0,0,0,0,0,0
3,408,5,0,0,0,0,0,0
3,409,11,1,0,0,0,0,0
4,402,16,5,1,0,0,0,0
4,403,4,1,0,0,0,0,0
4,404,5,1,0,0,0,0,0
4,405,20,2,2,0,0,0,0
4,406,4,0,0,0,0,0,0
4,407,9,0,0,0,0,0,0
4,408,15,4,0,0,0,1,0
4,409,68,8,5,2,3,0,0
6,402,5,2,1,0,0,0,0
6,403,5,0,0,0,0,0,0
6,404,2,0,0,0,0,0,0
6,405,13,1,0,0,0,0,0
6,406,0,0,0,0,0,0,0
6,407,4,0,0,0,0,0,0
6,408,2,1,0,0,0,0,0
6,409,7,2,0,0,0,0,0
7,402,18,0,2,0,1,0,0
7,403,3,0,0,0,0,0,0
7,404,6,0,0,0,0,0,0
7,405,11,3,0,0,0,0,0
7,406,2,0,0,0,0,0,0
7,407,5,0,0,0,0,0,0
7,408,3,0,0,0,0,0,0
7,409,4,0,1,0,0,0,0
