user,user2int,lec,#run,#action,err_incomplete,err_without_ct,err_etc
KuOahu9V,13741,409,2,7,0,0,1
Rnxm7NO3,13742,409,1,6,0,0,0
Jy3kmgL6,13743,409,1,6,0,0,0
HMOR4PTK,13744,409,7,22,0,0,6
HM2S0JBf,13745,409,1,6,0,0,0
51IIkwnt,13746,409,3,22,1,0,0
wSQ2WoRT,13747,409,1,7,0,0,0
pRQdL87E,13748,409,5,16,0,0,4
BzgPyktX,13749,409,3,27,0,0,2
hakfrGTC,13750,409,2,21,0,1,0
2dRgrgny,13751,409,1,6,0,0,0
Nkb6HUO9,13752,409,1,6,0,0,0
Vy8MzQL3,13753,409,3,6,1,0,0
vQXgh7VP,13754,409,1,6,0,0,0
bkIQeDsN,13755,409,1,6,0,0,0
xXqToInb,13756,409,1,6,0,0,0
ZTzsxYsp,13757,409,1,11,0,0,0
SGtHj9MJ,13758,409,12,43,0,4,7
uAqhRZ9x,13759,409,1,7,0,0,0
P3LnXkrN,13760,409,1,6,0,0,0
LJbeqr2T,13761,409,3,19,0,0,0
7dtIsRwX,13762,409,9,46,0,0,7
klIoxGjx,13763,409,2,6,0,0,0
j6KNCO99,13764,409,1,6,0,0,0
6D4CEJFb,13765,409,2,7,0,0,0
J0YiC3aS,13766,409,1,6,0,0,0
YXIa0fUD,13767,409,2,8,0,0,1
vlv2AdUg,13768,409,1,6,0,0,0
y6L4Eva3,13769,409,1,6,0,0,0
TC1Wtfz9,13770,409,1,6,0,0,0
jmiX4WFw,13771,409,2,8,0,0,1
C3GjcyQm,13772,409,1,6,0,0,0
vk10gWyD,13773,409,1,6,0,0,0
YaTV1t6O,13774,409,3,8,0,0,1
CWqfAqRW,13775,409,3,26,0,0,1
UtaU7d1m,13776,409,4,18,1,0,2
KbyWXMKp,13777,409,1,6,0,0,0
FNAICUB2,13778,409,3,13,0,0,1
Ql1bO24K,13779,409,1,14,0,0,0
NrqAdplW,13780,409,12,41,0,1,10
aez8uzaw,13781,409,4,17,1,0,2
5v9AJbaB,13782,409,2,15,0,0,1
nXsdmQTY,13783,409,4,13,0,0,3
Hq3ryDSF,13784,409,9,40,0,0,6
35IuAsnZ,13785,409,2,19,1,0,0
jPKg6W7i,13786,409,1,9,0,0,0
hXmfKqxI,13787,409,5,14,2,0,2
MM4YFP1m,13788,409,1,6,0,0,0
prgVM5aX,13789,409,46,227,2,0,38
KYfNAtYV,13790,409,2,13,1,0,0
RQMmLrNh,13791,409,2,9,0,0,1
3F0PvUTg,13792,409,1,7,0,0,0
RzMdV34J,13794,409,1,6,0,0,0
1LTVHdm4,13795,409,25,68,0,0,15
bHMrUR5D,13796,409,8,25,0,0,7
ziBWE5Ho,13797,409,1,8,0,0,0
WOjCQA1i,13798,409,1,8,0,0,0
tx7GZRt0,13799,409,1,6,0,0,0
M5Y9yvS0,13800,409,2,6,0,0,0
YYAVQHBq,13801,409,1,6,0,0,0
Y2mUuqQO,13802,409,6,32,1,0,2
0ssokDoI,13803,409,4,31,0,1,2
phPPeQza,13805,409,2,8,0,0,1
oPVrMYYm,13806,409,1,12,0,0,0
ALnPr2dO,13807,409,7,20,0,0,6
AXd0EUVo,13808,409,1,6,0,0,0
FywUagMa,13809,409,1,8,0,0,0
ZjPyoXC3,13810,409,11,37,2,0,7
IJ3j1ye9,13811,409,1,6,0,0,0
Q4ndkBqL,13812,409,2,6,0,0,0
cNDMD4QV,13813,409,1,8,0,0,0
9E8EMk85,13814,409,16,25,0,1,12
niEYTyPX,13815,409,1,6,0,0,0
YNf6h9Bo,13816,409,1,7,0,0,0
DFSlQR4S,13817,409,4,27,0,1,2
GfMvK3QW,13818,409,1,6,0,0,0
hZlZQruH,13819,409,1,6,0,0,0
vYAMGfGS,13821,409,5,15,1,0,3
YJnAFm4l,13822,409,3,13,0,0,2
lGfz4UEK,13823,409,4,34,0,1,2
pmd4iHun,13824,409,1,13,0,0,0
UTBMMHRo,13825,409,1,8,0,0,0
SnSTfLyV,13826,409,1,7,0,0,0
CbFHoZfg,13827,409,2,6,0,0,0
dFrmsh7y,13828,409,1,6,0,0,0
aE4pNe3p,13829,409,4,21,0,0,3
2dpEU5TS,13830,409,1,6,0,0,0
IDfs0jRa,13831,409,10,28,0,0,9
1gBSoaIA,13832,409,1,8,0,0,0
