key,id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
bT1F5LSE,230,409,1,2,0,0,2,0,0,0,0,0
9oWJ6ehm,588,409,1,1,0,1,1,1,0,0,0,0
OvnwvDqq,750,409,1,1,0,1,1,1,0,0,0,0
Zp3pODqv,915,409,1,1,0,1,1,1,0,0,0,0
nxmaGIhq,1658,409,1,0,0,2,2,0,0,0,0,0
rgfdtz3t,1788,409,1,1,0,1,2,0,0,0,0,0
lbyHw1Dt,2324,409,1,1,0,1,2,0,0,0,0,0
qJnapjJZ,3087,409,3,2,0,0,2,2,0,0,0,0
gK90OI9v,3354,409,1,2,0,0,2,0,0,0,0,0
CMnEqWik,4273,409,2,1,0,1,3,0,0,0,0,0
e5xmgUIv,4848,409,1,1,0,1,1,1,0,0,0,0
Tqs8XBlq,4985,409,1,0,0,2,1,0,1,0,0,0
TiAiR4t1,5050,409,1,2,0,0,2,0,0,0,0,0
V8fluvQY,5099,409,1,0,0,2,0,1,1,0,0,0
MelhaSJA,5118,409,2,1,0,1,2,0,1,0,0,0
voURz28F,5370,409,1,1,1,0,1,0,1,0,0,0
RrfQtPZM,5399,409,4,1,1,0,3,2,0,0,0,0
qV60VWoo,5411,409,1,1,0,1,2,0,0,0,0,0
8ymfEOHg,5428,409,1,2,0,0,2,0,0,0,0,0
Re8uQbFg,5455,409,1,1,0,1,2,0,0,0,0,0
HAEAgdj6,5481,409,4,0,1,1,3,0,2,0,0,0
9ATFytRt,6571,409,1,1,0,1,2,0,0,0,0,0
boEKJNz9,6711,409,2,1,1,0,2,0,1,0,0,0
p9RWUPbf,6818,409,3,0,0,2,3,1,0,0,0,0
RHYKG3ic,7034,409,1,1,0,1,2,0,0,0,0,0
Av7iNcJa,7215,409,1,1,1,0,1,0,1,0,0,0
Z6etyLiI,7582,409,1,0,0,2,1,0,1,0,0,0
VWvPccop,8249,409,1,1,1,0,2,0,0,0,0,0
ANIX43Vu,8929,409,4,0,1,1,3,1,1,0,0,0
6RAmWstY,9227,409,2,1,0,1,2,0,1,0,0,0
Y7KHZSsy,9563,409,3,2,0,0,2,0,2,0,0,0
cgEDpWA7,9649,409,1,2,0,0,2,0,0,0,0,0
wfByLXpW,9726,409,3,0,0,2,2,2,0,0,0,0
U9KW3WSX,9795,409,2,2,0,0,2,1,0,0,0,0
gl9kZHG8,10117,409,1,1,0,1,2,0,0,0,0,0
