key,id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
DikfVPpO,91,409,1,2,0,1,2,1,0,0,0,0
b3Lo7OiT,1045,409,2,1,1,1,3,0,1,0,0,0
kCUW94wd,2015,409,1,0,1,2,3,0,0,0,0,0
EOKu96Mn,2781,409,3,2,1,0,3,0,2,0,0,0
oSd2HRed,3569,409,1,0,1,2,3,0,0,0,0,0
6P8m8Ak9,3608,409,1,3,0,0,2,1,0,0,0,0
5zpbQh5P,4006,409,1,2,0,1,3,0,0,0,0,0
Wf2THb5O,4330,409,3,3,0,0,3,0,2,0,0,0
WXYlWeSG,4427,409,2,2,1,0,2,1,1,0,0,0
QYMRpZXP,5423,409,3,3,0,0,3,1,1,0,0,0
nFmqvePJ,5445,409,2,1,0,2,2,2,0,0,0,0
NeiyJERq,5451,409,2,0,1,2,2,2,0,0,0,0
N57UCRhc,6128,409,1,0,0,3,3,0,0,0,0,0
KQ5IXUO2,6172,409,2,3,0,0,3,0,0,1,0,0
M9ddjvDz,6526,409,1,0,0,3,2,1,0,0,0,0
Rp2PTVYa,6814,409,1,2,0,1,3,0,0,0,0,0
AVAi8hYK,7028,409,3,0,0,3,3,1,0,0,1,0
tnbrDs7r,7084,409,2,2,0,1,3,0,1,0,0,0
HJgAkYw4,8305,409,2,1,0,2,3,1,0,0,0,0
g3GHdNn4,8452,409,2,0,0,3,3,1,0,0,0,0
75viwIh7,8844,409,2,2,1,0,3,0,1,0,0,0
G0Sc4mrl,8894,409,2,2,0,1,3,1,0,0,0,0
