user,user2int,lec,#runs,#actions,~5,5~10,10~30,30~60,60~
VokrBlvr,3593,409,4,14,0,0,2,1,0
rFPLDPop,3594,409,2,8,0,0,1,0,0
UbULEEX0,3595,409,1,10,0,0,0,0,0
TWVJRDHI,3596,409,1,12,0,0,0,0,0
FUDemYeq,3597,409,8,40,0,0,6,1,0
Ji51C6b5,3598,409,6,7,3,1,1,0,0
8FwMDpRc,3599,409,1,7,0,0,0,0,0
nM2oYCRO,3600,409,1,6,0,0,0,0,0
V6NPWZ5k,3601,409,2,18,0,0,1,0,0
cEAXU5XZ,3602,409,7,14,2,4,0,0,0
kdEgZF7J,3603,409,1,11,0,0,0,0,0
Znk8UQ2c,3604,409,1,6,0,0,0,0,0
CpOhZ6JA,3605,409,1,13,0,0,0,0,0
VvhHphsb,3606,409,2,8,0,0,1,0,0
UoVE5fmU,3607,409,1,6,0,0,0,0,0
6P8m8Ak9,3608,409,1,3,0,0,0,0,0
2Sv3rhBv,3609,409,1,6,0,0,0,0,0
lZgsIw00,3610,409,2,12,0,0,1,0,0
bxfCMt6n,3611,409,3,19,0,0,2,0,0
YeoovjBV,3612,409,2,7,0,0,1,0,0
3uQGzLAN,3613,409,1,10,0,0,0,0,0
vvq7fXdp,3614,409,4,12,0,0,3,0,0
MGLYfV3P,3615,409,7,28,0,1,3,1,1
2BvCovua,3616,409,1,9,0,0,0,0,0
K3XvFJ6R,3617,409,3,9,1,0,1,0,0
4ufaz3iv,3618,409,2,7,0,1,0,0,0
8IhnALtS,3619,409,3,16,0,1,0,1,0
q4BntzU9,3620,409,0,0,0,0,0,0,0
ZvD2KqKl,3621,409,1,8,0,0,0,0,0
ZNlCXl4w,3622,409,1,6,0,0,0,0,0
y2wv9IWA,3623,409,2,6,1,0,0,0,0
Ew6SyvGI,3624,409,3,11,1,1,0,0,0
oK2Nfgc7,3625,409,1,6,0,0,0,0,0
fOSHPKs5,3626,409,12,49,0,0,11,0,0
LJw5702n,3627,409,3,17,0,0,2,0,0
8f7wibnL,3628,409,3,18,0,0,2,0,0
vRc1fLyA,3629,409,2,9,0,0,0,1,0
5eNirsh9,3630,409,1,6,0,0,0,0,0
IRFj37p2,3631,409,1,6,0,0,0,0,0
wsSSgIKP,3632,409,1,6,0,0,0,0,0
yKlq1mb1,3633,409,2,24,0,0,1,0,0
VA6A4HAb,3634,409,0,0,0,0,0,0,0
BVwXptWu,3635,409,1,8,0,0,0,0,0
cCE6gx7F,3636,409,2,18,0,0,1,0,0
HDUp94Cr,3637,409,10,21,0,4,4,1,0
9gvUDDPi,3638,409,0,0,0,0,0,0,0
LETzwFjw,3639,409,11,50,1,0,4,2,3
mFMipfLj,3640,409,4,20,1,0,2,0,0
IWwLjbnR,3641,409,2,17,0,0,1,0,0
HKpC4u5O,3642,409,1,6,0,0,0,0,0
dkrDkz4z,3643,409,1,6,0,0,0,0,0
Ybvpebi8,3644,409,1,7,0,0,0,0,0
fMCxfwtv,3645,409,1,7,0,0,0,0,0
ebeDRMDk,3646,409,1,6,0,0,0,0,0
JIzFpHfb,3647,409,2,12,0,0,0,1,0
