MongoDB shell version: 3.0.7
connecting to: entry_3
PZIw4nSY,2-1,insertBlock,run,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-2,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-3,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-4,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-5,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,seperateBlock,destroyBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run,seperateBlock,insertBlock,run,insertBlock,seperateBlock,insertBlock,run
PZIw4nSY,2-6,addBlock,insertBlock,addBlock,insertBlock,addBlock,seperateBlock,moveBlock,destroyBlock,moveBlock,moveBlock,moveBlock,moveBlock,destroyBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-7,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run,addBlock,insertBlock,run,addBlock,insertBlock,run
PZIw4nSY,2-8,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-9,addBlock,insertBlock,addBlock,insertBlock,seperateBlock,moveBlock,destroyBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-10,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-11,addBlock,insertBlock,run,run
PZIw4nSY,2-12,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-13,run
PZIw4nSY,2-14,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,2-15,addBlock,insertBlock,addBlock,insertBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,3-1,run
PZIw4nSY,3-2,run
PZIw4nSY,3-3,run
PZIw4nSY,3-4,run,run,run
PZIw4nSY,3-5,run
PZIw4nSY,3-6,run
PZIw4nSY,3-7,run
PZIw4nSY,3-8,run,run
PZIw4nSY,3-1
PZIw4nSY,3-7
PZIw4nSY,3-8
PZIw4nSY,3-9,run,run
PZIw4nSY,3-10,run
PZIw4nSY,4-1,run,run
PZIw4nSY,4-2,run,addBlock,insertBlock,seperateBlock,destroyBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run,insertBlock,seperateBlock,insertBlock,insertBlock,moveBlock,destroyBlock,addBlock,insertBlock,addBlock,insertBlock,run,insertBlock,insertBlock,run,insertBlock,seperateBlock,moveBlock,insertBlock,insertBlock,insertBlock,run,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,4-1
PZIw4nSY,4-2
PZIw4nSY,4-3,run,seperateBlock,destroyBlock,run,addBlock,insertBlock,run
PZIw4nSY,4-4,seperateBlock,run,addBlock,insertBlock,insertBlock,seperateBlock,run
PZIw4nSY,4-5,seperateBlock,addBlock,insertBlock,insertBlock,insertBlock,run
PZIw4nSY,4-6,addBlock,insertBlock,run
PZIw4nSY,4-7,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,insertBlock,insertBlock,run
PZIw4nSY,4-8,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,insertBlock,insertBlock,insertBlock,seperateBlock,insertBlock,insertBlock,insertBlock,addBlock,insertBlock,insertBlock,run
PZIw4nSY,4-9,addBlock,insertBlock,addBlock,addBlock,insertBlock,addBlock,addBlock,insertBlock,insertBlock,insertBlock,insertBlock,addBlock,insertBlock,run
PZIw4nSY,4-10,run,addBlock,addBlock,insertBlock,addBlock,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,insertBlock,insertBlock,addBlock,insertBlock,run,insertBlock,insertBlock,run
injjJ2rM,2-1,insertBlock,insertBlock,seperateBlock,run,run,run,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run,addBlock,insertBlock,addBlock,insertBlock,run
injjJ2rM,2-2,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run,addBlock,insertBlock,addBlock,insertBlock,run
injjJ2rM,2-3,addBlock,addBlock,insertBlock,addBlock,insertBlock,insertBlock,insertBlock,run,addBlock,insertBlock,addBlock,insertBlock,addBlock,insertBlock,run
