id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
L2PP62O2,4-8,2,5,17,0,4,1,0
L2PP62O2,4-9,1,6,9,0,0,0,0
L2PP62O2,4-10,12,18,42,3,14,6,0
L2PP62O2,5-1,1,0,0,0,0,0,0
L2PP62O2,5-2,1,0,0,0,0,0,0
L2PP62O2,5-3,1,0,0,0,0,0,0
L2PP62O2,5-4,3,0,0,0,0,0,0
L2PP62O2,5-5,5,0,0,0,0,0,0
L2PP62O2,5-6,15,0,0,0,0,0,0
L2PP62O2,5-7,12,0,0,0,0,0,0
FHFeoqEV,2-1,3,6,6,0,0,0,0
FHFeoqEV,2-2,2,4,4,0,0,0,0
FHFeoqEV,2-3,2,6,6,0,0,0,0
FHFeoqEV,2-4,2,6,6,0,0,0,0
FHFeoqEV,2-5,2,6,6,0,0,0,0
FHFeoqEV,2-6,2,8,8,0,0,0,0
FHFeoqEV,2-7,3,8,9,0,1,0,0
FHFeoqEV,2-8,3,14,14,0,0,0,0
FHFeoqEV,2-9,2,12,12,0,0,0,0
FHFeoqEV,2-10,3,17,20,5,2,1,0
FHFeoqEV,2-11,2,2,2,0,0,0,0
FHFeoqEV,2-12,2,5,6,0,0,0,0
FHFeoqEV,2-13,2,2,3,0,0,0,0
FHFeoqEV,2-14,2,6,11,0,1,0,0
FHFeoqEV,2-15,2,8,8,0,0,0,0
FHFeoqEV,3-1,1,0,0,0,0,0,0
FHFeoqEV,3-2,1,0,0,0,0,0,0
FHFeoqEV,3-3,2,0,0,0,0,0,0
FHFeoqEV,3-4,1,0,0,0,0,0,0
FHFeoqEV,3-5,1,0,0,0,0,0,0
FHFeoqEV,3-6,1,0,0,0,0,0,0
FHFeoqEV,3-7,1,0,0,0,0,0,0
FHFeoqEV,3-8,2,0,0,0,0,0,0
FHFeoqEV,3-9,8,0,0,0,0,0,0
FHFeoqEV,3-10,1,0,0,0,0,0,0
FHFeoqEV,4-1,1,0,1,0,0,0,0
FHFeoqEV,4-2,3,6,14,2,8,0,0
FHFeoqEV,4-3,1,1,1,0,1,1,0
FHFeoqEV,4-4,1,2,4,2,3,0,0
FHFeoqEV,4-5,7,10,19,9,7,3,0
FHFeoqEV,4-6,1,1,1,0,0,0,0
FHFeoqEV,4-7,3,4,8,1,3,0,0
FHFeoqEV,4-8,1,4,4,0,0,0,0
FHFeoqEV,4-9,1,6,9,0,0,0,0
FHFeoqEV,4-10,3,9,9,0,1,0,0
FHFeoqEV,5-1,3,0,0,0,0,0,0
FHFeoqEV,5-2,2,0,0,0,0,0,0
FHFeoqEV,5-3,1,0,0,0,0,0,0
FHFeoqEV,5-4,1,0,0,0,0,0,0
FHFeoqEV,5-5,2,0,0,0,0,0,0
FHFeoqEV,5-6,11,0,0,0,0,0,0
FHFeoqEV,5-7,14,0,0,0,0,0,0
FHFeoqEV,5-8,5,0,0,0,0,0,0
FHFeoqEV,5-9,4,0,0,0,0,0,0
FHFeoqEV,5-10,46,0,0,0,0,0,0
KHhGLH9N,5-10,36,0,0,0,0,0,0
KHhGLH9N,5-1,2,0,0,0,0,0,0
KHhGLH9N,2-1,2,3,3,0,1,1,0
KHhGLH9N,2-2,1,2,2,0,0,0,0
KHhGLH9N,2-3,1,3,3,0,0,0,0
KHhGLH9N,2-4,1,3,3,0,0,0,0
KHhGLH9N,2-5,1,3,3,0,0,0,0
KHhGLH9N,2-6,2,4,4,0,0,0,0
KHhGLH9N,2-7,2,4,4,0,0,0,0
KHhGLH9N,2-8,1,7,7,0,0,0,0
KHhGLH9N,2-9,1,6,6,0,0,0,0
KHhGLH9N,2-10,1,8,8,0,0,0,0
KHhGLH9N,2-11,1,1,1,0,0,0,0
KHhGLH9N,2-12,1,2,2,0,0,0,0
KHhGLH9N,2-13,1,0,0,0,0,0,0
KHhGLH9N,2-14,1,3,6,0,0,0,0
KHhGLH9N,2-15,1,4,4,0,0,0,0
KHhGLH9N,3-1,1,0,0,0,0,0,0
KHhGLH9N,3-2,1,0,0,0,0,0,0
KHhGLH9N,3-3,1,0,0,0,0,0,0
KHhGLH9N,3-4,3,0,0,0,0,0,0
KHhGLH9N,3-5,1,0,0,0,0,0,0
KHhGLH9N,3-6,1,0,0,0,0,0,0
KHhGLH9N,3-7,1,0,0,0,0,0,0
KHhGLH9N,3-8,2,0,0,0,0,0,0
KHhGLH9N,3-9,1,0,0,0,0,0,0
KHhGLH9N,3-10,1,0,0,0,0,0,0
KHhGLH9N,4-1,2,1,1,0,0,0,0
KHhGLH9N,4-2,17,15,28,1,9,6,0
KHhGLH9N,4-3,1,2,2,1,1,1,0
KHhGLH9N,4-4,1,2,3,0,2,2,0
KHhGLH9N,4-5,3,6,6,0,1,1,0
KHhGLH9N,4-6,1,4,5,0,1,1,0
KHhGLH9N,4-7,1,4,4,0,0,0,0
KHhGLH9N,4-9,2,6,7,0,0,0,0
KHhGLH9N,4-10,6,8,12,0,2,1,0
KHhGLH9N,5-2,2,0,0,0,0,0,0
KHhGLH9N,5-3,1,0,0,0,0,0,0
KHhGLH9N,5-4,10,0,0,0,0,0,0
KHhGLH9N,5-5,2,0,0,0,0,0,0
KHhGLH9N,5-6,27,0,0,0,0,0,0
KHhGLH9N,5-7,60,0,0,0,0,0,0
KHhGLH9N,5-8,18,0,0,0,0,0,0
KHhGLH9N,5-9,40,0,0,0,0,0,0
ep18A857,2-1,3,4,4,0,0,0,0
ep18A857,2-2,2,4,4,0,0,0,0
ep18A857,2-3,2,6,6,0,0,0,0
ep18A857,2-4,2,6,6,0,0,0,0
ep18A857,2-5,2,6,6,0,0,0,0
ep18A857,2-6,3,9,11,1,1,1,0
ep18A857,2-7,2,8,8,0,0,0,0
ep18A857,2-8,2,14,14,1,0,0,0
ep18A857,2-9,2,12,12,0,0,0,0
ep18A857,2-10,2,16,16,0,0,0,0
ep18A857,2-11,2,2,4,0,0,0,0
ep18A857,2-12,3,6,17,2,2,1,0
ep18A857,2-13,2,2,2,0,0,0,0
ep18A857,2-14,2,6,6,0,0,0,0
ep18A857,2-15,2,8,8,0,0,0,0
ep18A857,3-2,1,0,0,0,0,0,0
ep18A857,3-3,1,0,0,0,0,0,0
ep18A857,3-4,1,0,0,0,0,0,0
ep18A857,3-5,1,0,0,0,0,0,0
ep18A857,3-6,1,0,0,0,0,0,0
ep18A857,3-7,1,0,0,0,0,0,0
ep18A857,3-8,2,0,0,0,0,0,0
ep18A857,3-9,2,0,0,0,0,0,0
ep18A857,3-10,1,0,0,0,0,0,0
ep18A857,4-1,1,0,0,0,0,0,0
ep18A857,4-2,2,3,5,0,0,0,0
ep18A857,4-3,4,2,8,0,4,1,0
ep18A857,4-4,1,2,3,2,1,1,0
ep18A857,4-5,1,1,5,1,3,1,0
ep18A857,4-6,15,27,44,6,15,6,0
ep18A857,4-7,3,8,11,0,0,0,0
ep18A857,4-8,5,8,18,1,3,0,0
ep18A857,4-9,2,12,15,0,1,0,0
ep18A857,4-10,4,20,24,0,2,1,0
ep18A857,5-1,1,0,0,0,0,0,0
ep18A857,5-2,1,0,0,0,0,0,0
ep18A857,5-3,1,0,0,0,0,0,0
ep18A857,5-4,3,0,0,0,0,0,0
ep18A857,5-5,3,0,0,0,0,0,0
ep18A857,5-6,1,0,0,0,0,0,0
ep18A857,5-7,1,0,0,0,0,0,0
ep18A857,5-8,1,0,0,0,0,0,0
ep18A857,5-9,2,0,0,0,0,0,0
ep18A857,5-10,12,0,0,0,0,0,0
i2VT8jh3,2-1,1,2,2,0,0,0,0
i2VT8jh3,2-2,1,2,2,0,0,0,0
i2VT8jh3,2-3,1,3,3,0,0,0,0
i2VT8jh3,2-4,1,3,3,1,0,0,0
i2VT8jh3,2-5,6,8,18,2,7,2,0
i2VT8jh3,2-6,5,9,11,2,2,2,0
i2VT8jh3,2-7,2,4,6,0,1,0,0
i2VT8jh3,2-8,9,16,30,7,16,9,0
i2VT8jh3,2-9,3,8,13,1,5,2,0
i2VT8jh3,2-10,4,9,15,0,4,1,0
i2VT8jh3,2-11,2,1,1,0,0,0,0
i2VT8jh3,2-12,1,2,2,0,0,0,0
i2VT8jh3,2-13,2,0,0,0,0,0,0
i2VT8jh3,2-14,1,3,4,0,0,0,0
i2VT8jh3,2-15,1,4,9,0,1,0,0
i2VT8jh3,3-1,1,0,0,0,0,0,0
i2VT8jh3,3-2,3,0,0,0,0,0,0
i2VT8jh3,3-3,1,0,0,0,0,0,0
i2VT8jh3,3-4,1,0,0,0,0,0,0
i2VT8jh3,3-5,1,0,0,0,0,0,0
i2VT8jh3,3-6,1,0,0,0,0,0,0
i2VT8jh3,3-7,1,0,0,0,0,0,0
i2VT8jh3,3-8,3,0,0,0,0,0,0
i2VT8jh3,3-9,7,0,0,0,0,0,0
i2VT8jh3,3-10,4,0,0,0,0,0,0
i2VT8jh3,4-1,1,0,0,0,0,0,0
i2VT8jh3,4-2,5,4,13,6,6,2,0
i2VT8jh3,4-3,3,2,4,5,4,1,0
i2VT8jh3,4-4,1,1,2,10,3,0,0
i2VT8jh3,4-5,2,1,3,0,0,0,0
i2VT8jh3,4-6,2,2,2,0,1,1,0
i2VT8jh3,4-7,1,4,5,0,0,0,0
i2VT8jh3,4-8,1,4,5,0,0,0,0
i2VT8jh3,4-9,7,6,10,0,1,0,0
i2VT8jh3,4-10,71,95,244,86,85,40,0
i2VT8jh3,5-1,2,0,0,0,0,0,0
i2VT8jh3,5-2,2,0,0,0,0,0,0
i2VT8jh3,5-3,4,0,0,0,0,0,0
i2VT8jh3,5-4,1,0,0,0,0,0,0
i2VT8jh3,5-5,5,0,0,0,0,0,0
i2VT8jh3,5-6,11,0,0,0,0,0,0
